ImageNumber,Image_Metadata_GeneSymbol,Image_Metadata_AlleleDesc
1594,YAP1,WT.3
1190,EMPTY,
1260,YAP1,WT.1
1614,YAP1,WT.4
1573,EMPTY,
1933,EMPTY,
1619,YAP1,WT.4
2056,EMPTY,
2061,EMPTY,
1195,EMPTY,
1774,EMPTY,
1898,WWTR1,WT
1893,WWTR1,WT
1928,EMPTY,
1779,EMPTY,
1255,YAP1,WT.1
1680,EMPTY,
1570,EMPTY,
1595,YAP1,WT.3
1958,EMPTY,
1599,YAP1,WT.3
1430,EMPTY,
1683,EMPTY,
2226,EMPTY,
2231,EMPTY,
1615,YAP1,WT.4
1934,EMPTY,
2057,EMPTY,
1620,YAP1,WT.4
1675,EMPTY,
1574,EMPTY,
1954,EMPTY,
1775,EMPTY,
1780,EMPTY,
1929,EMPTY,
1899,WWTR1,WT
2411,EMPTY,
1894,WWTR1,WT
2456,EMPTY,
2451,EMPTY,
2232,EMPTY,
1600,YAP1,WT.3
2536,EMPTY,
2406,EMPTY,
1935,EMPTY,
2526,EMPTY,
2058,EMPTY,
2531,EMPTY,
2227,EMPTY,
2521,EMPTY,
1959,EMPTY,
1955,EMPTY,
2412,EMPTY,
1930,EMPTY,
2053,EMPTY,
2457,EMPTY,
1895,WWTR1,WT
2527,EMPTY,
2059,EMPTY,
2537,EMPTY,
2452,EMPTY,
2532,EMPTY,
2522,EMPTY,
2407,EMPTY,
2228,EMPTY,
2687,EMPTY,
2528,EMPTY,
2060,EMPTY,
2538,EMPTY,
2533,EMPTY,
2523,EMPTY,
2453,EMPTY,
2054,EMPTY,
2408,EMPTY,
2688,EMPTY,
2225,EMPTY,
2728,EMPTY,
2404,EMPTY,
2529,EMPTY,
2449,EMPTY,
2454,EMPTY,
2524,EMPTY,
2230,EMPTY,
2729,EMPTY,
2689,EMPTY,
2405,EMPTY,
2055,EMPTY,
2530,EMPTY,
2450,EMPTY,
3216,EMPTY,
2535,EMPTY,
2525,EMPTY,
2455,EMPTY,
3027,EMPTY,
2690,EMPTY,
2730,EMPTY,
2410,EMPTY,
3217,EMPTY,
3227,EMPTY,
3207,EMPTY,
3028,EMPTY,
3218,EMPTY,
3228,EMPTY,
3208,EMPTY,
3029,EMPTY,
3219,EMPTY,
3229,EMPTY,
3209,EMPTY,
3030,EMPTY,
3230,EMPTY,
7247,EMPTY,
7367,EMPTY,
7138,EMPTY,
7467,EMPTY,
7139,EMPTY,
7627,EMPTY,
7876,EMPTY,
7468,EMPTY,
7628,EMPTY,
7877,EMPTY,
7140,EMPTY,
7249,EMPTY,
7369,EMPTY,
7469,EMPTY,
7927,EMPTY,
8106,EMPTY,
7629,EMPTY,
7878,EMPTY,
7918,EMPTY,
7470,EMPTY,
7928,EMPTY,
7250,EMPTY,
8336,EMPTY,
7370,EMPTY,
8107,EMPTY,
8167,YAP1,WT.1
7879,EMPTY,
7919,EMPTY,
7630,EMPTY,
8207,YAP1,WT.2
8506,YAP1,WT.3
8337,EMPTY,
7880,EMPTY,
8108,EMPTY,
7920,EMPTY,
8168,YAP1,WT.1
8208,YAP1,WT.2
8487,EMPTY,
8507,YAP1,WT.3
8338,EMPTY,
8587,EMPTY,
8806,WWTR1,WT
8109,EMPTY,
8527,YAP1,WT.4
8169,YAP1,WT.1
8687,EMPTY,
8339,EMPTY,
8508,YAP1,WT.3
8588,EMPTY,
8807,WWTR1,WT
8200,YAP1,WT.2
8847,EMPTY,
8867,EMPTY,
8340,EMPTY,
8688,EMPTY,
8528,YAP1,WT.4
8479,EMPTY,
8509,YAP1,WT.3
8868,EMPTY,
9136,EMPTY,
8480,EMPTY,
8967,EMPTY,
8689,EMPTY,
8529,YAP1,WT.4
9316,EMPTY,
8590,EMPTY,
8510,YAP1,WT.3
8809,WWTR1,WT
8869,EMPTY,
8690,EMPTY,
9137,EMPTY,
8968,EMPTY,
9436,EMPTY,
9317,EMPTY,
9446,EMPTY,
8530,YAP1,WT.4
8810,WWTR1,WT
8870,EMPTY,
9138,EMPTY,
9367,EMPTY,
9447,EMPTY,
8969,EMPTY,
9437,EMPTY,
9318,EMPTY,
9139,EMPTY,
8839,EMPTY,
9597,EMPTY,
9448,EMPTY,
8970,EMPTY,
9368,EMPTY,
9438,EMPTY,
9319,EMPTY,
9140,EMPTY,
9449,EMPTY,
9598,EMPTY,
9320,EMPTY,
9439,EMPTY,
9369,EMPTY,
10126,EMPTY,
9937,EMPTY,
9648,EMPTY,
10136,EMPTY,
9450,EMPTY,
9599,EMPTY,
9440,EMPTY,
10127,EMPTY,
10142,EMPTY,
